airline=# select aircraft_rn, count(weight) as total from
airline-# (
airline(# select aircraft_rn, weight from luggage
airline(# )
airline-# group by aircraft_rn
airline-# order by total desc
airline-# limit 1;
 aircraft_rn | total
-------------+-------
 N-554FG     |   391
(1 row)


Time: 23.554 ms


airline=# select
airline-#   first_name,
airline-#   last_name,
airline-#   (current_date - dob)/365 as age,
airline-#   flight_hours,
airline-#   (current_date - hire_date)/365 as emp_years,
airline-#   (current_date - dob)/365 - (current_date - hire_date)/365 as hiring_age
airline-# from pilot
airline-# where
airline-#   (current_date - dob)/365 between 18 and 30 and  -- 18 <= age <= 30
airline-#   flight_hours >= 2000 and
airline-#   (current_date - dob)/365 - (current_date - hire_date)/365 >= 18; -- must have been hired above 18
 first_name | last_name  | age | flight_hours | emp_years | hiring_age
    870 | Shyanne    | Mckee       | 361605.7 | 1960-03-26 | 6911 Steven Road, Panama City, FL, 32404                      | 1997-10-12
    873 | Davian     | Bonilla     |   242059 | 1955-05-03 | 1439 2nd Street, Panama City, FL, 32409                       | 2009-12-23
    876 | Reynaldo   | Little      | 374908.8 | 1978-11-25 | 804 East 7th Court, Panama City, FL, 32401                    | 1996-04-10
    880 | Anahi      | Mccarty     |   399250 | 1979-09-13 | 100 Birney Street, Peabody, MA, 01960                         | 1994-05-10
    883 | Maurice    | Francis     |   418729 | 1954-08-18 | 168 Partridge Hill Road, Charlton, MA, 01507                  | 1994-04-09
    884 | Geovanni   | Pena        |   310311 | 1963-02-22 | 34 Free Street, Hingham, MA, 02043                            | 2002-09-18
    886 | Rachael    | Cook        |   363765 | 1980-09-12 | 208 Bonita Circle, Panama City Beach, FL, 32408               | 1999-06-08
    902 | Conrad     | Miller      |   443342 | 1982-12-13 | 165 New Hampshire Avenue, Somerset, MA, 02726                 | 1993-11-16
    914 | Jazmine    | Ward        | 284550.4 | 1999-10-27 | 190 Exchange Street, Lawrence, MA, 01841                      | 2006-08-20
    919 | Howard     | Fleming     | 435716.5 | 1964-08-18 | 172 Chestnut Street, Lynn, MA, 01902                          | 1991-07-28
    921 | Aydin      | Ward        |   293852 | 1958-07-23 | 3901 West End Avenue, Nashville, TN, 37205                    | 2004-05-19
    925 | Mattie     | Schroeder   |   322693 | 1978-04-10 | 800 West Street, Panama City, FL, 32404                       | 2003-05-23
    928 | Semaj      | Price       | 442194.4 | 1959-12-16 | 4821 Milner Drive, Nashville, TN, 37211                       | 1992-07-22
    930 | Wayne      | Mclean      |   424165 | 1962-12-25 | 2A Cleveland Park Rd, Freetown, MA, 02717                     | 1994-11-15
    931 | Felix      | Leblanc     |   120940 | 1956-08-24 | 287 Lawndale Drive, Nashville, TN, 37211                      | 2019-02-14
    934 | Trystan    | Christensen |   432319 | 1970-02-27 | 168 Partridge Hill Road, Charlton, MA, 01507                  | 1994-12-06
    943 | Marcos     | Best        | 197196.9 | 1959-12-28 | 1518 Jenks Avenue, Panama City, FL, 32405                     | 2013-01-28
    974 | Alina      | Morales     | 366513.2 | 1950-12-15 | 4001 Anderson Road, Nashville, TN, 37217                      | 1998-06-09
    976 | Howard     | Huber       | 277830.9 | 1959-08-23 | 25 Morton Street, Quincy, MA, 02169                           | 2005-04-07
    978 | Marcelo    | Boyer       | 345327.9 | 1990-06-03 | 702 Plantation Circle, Panama City, FL, 32404                 | 2001-05-03
    982 | Kareem     | Marks       |   181055 | 1966-12-24 | 5908 Sedberry Road, Nashville, TN, 37205                      | 2014-11-18
    983 | Macie      | Hull        |   182112 | 1974-01-23 | 17623 Norma Lane, Fountain, FL, 32438                         | 2014-10-25
    992 | Weston     | Nichols     | 396245.1 | 1970-06-22 | 105 Ridgecrest Court, Panama City, FL, 32405                  | 1995-11-03
   1013 | Josiah     | Stark       | 472092.4 | 1983-01-07 | 22 Charnock Street, Beverly, MA, 01915                        | 1991-08-06
   1018 | Sylvia     | Turner      |   138926 | 1993-06-20 | 46 Deslauriers Street, Chicopee, MA, 01020                    | 2018-03-17
   1019 | Autumn     | Foley       |   375543 | 1964-05-25 | 61 Thomas Street, Dedham, MA, 02026                           | 1998-11-18
   1020 | Alicia     | Blevins     |   132602 | 1952-04-07 | 713 Flight Avenue, Panama City, FL, 32404                     | 2018-03-19
	-- more


Time: 3.887 ms


airline=# -- get top 10 busiest airports:
airline=# select * from
airline-# (
airline(# select iata, count(*) as total
airline(# from
airline(# (
airline(# select iata from carousel
airline(# )
airline(# group by iata
airline(# order by total desc
airline(# )
airline-# limit 10;
 iata | total
------+-------
 ATL  |   109
 HKG  |    96
 CGK  |    95
 HND  |    94
 DXB  |    92
 DEN  |    91
 IST  |    90
 DFW  |    89
 FRA  |    85
 LHR  |    84
(10 rows)


Time: 0.957 ms


airline=# UPDATE employee
airline-# SET wage = wage + 1000
airline-# WHERE wage <= 60000
airline-# RETURNING *;
 emp_id | first_name |  last_name  | wage |    dob     |                                address                                 | hire_date
--------+------------+-------------+------+------------+------------------------------------------------------------------------+------------
     72 | Britney    | Doyle       | 3696 | 1956-09-12 | 404 Ramble Wood Circle, Nashville, TN, 37221                           | 2020-05-20
     73 | Houston    | Ayala       | 4475 | 1965-03-04 | 5039 North 57th Avenue, Glendale, AZ, 85301                            | 2008-12-10
     75 | Valeria    | Bridges     | 3690 | 1985-08-02 | 109 Summit Street, Burlington, VT, 05401                               | 2000-07-09
     76 | Demarcus   | Cabrera     | 4256 | 1970-02-02 | 29104 Quartz Lane, Tollhouse, CA, 93667                                | 1998-10-08
     77 | Logan      | Church      | 4177 | 1998-09-26 | 14 School Street, Medway, MA, 02053                                    | 2005-04-22
     78 | Jan        | Wilkerson   | 4876 | 1994-01-19 | 333 Saint Charles Avenue, Fayetteville, AR, 72701                      | 2009-08-09
     79 | Jair       | Benjamin    | 4247 | 1980-05-05 | 404 Dewey Street, Woodford, VT, 05201                                  | 2019-06-19
     80 | Luna       | Russo       | 3400 | 1955-08-10 | 11515 Leemont Drive, Louisville, KY, 40272                             | 2016-09-03
     81 | Emmanuel   | Schaefer    | 5269 | 1983-10-14 | 89 Augusta Drive, Fayetteville, AR, 72703                              | 2001-02-08
     83 | Sophia     | Stephens    | 4996 | 1968-05-11 | 3901 Old Seward Highway, Anchorage, AK, 99503                          | 2009-11-22
     84 | Helen      | Glover      | 4968 | 1979-04-16 | 8409 Gullane Court, Pasadena, MD, 21122                                | 2008-06-13
     85 | Case       | Foster      | 5054 | 1951-02-12 | 1425 Claremont Circle, Savannah, GA, 31415                             | 1994-09-19
     86 | Eli        | Santana     | 4119 | 1994-11-08 | 8546 North 59th Lane, Glendale, AZ, 85302                      UPDATE 4220
--more


Time: 15.526 ms


airline=# -- change terminal 9 to 10 in PEK
airline=# update carousel
airline-# set terminal = 10
airline-# where iata = 'PEK' and terminal = 9
airline-# returning *;
 carousel_id | capacity | terminal | iata
-------------+----------+----------+------
        9315 |     2292 |       10 | PEK
       28028 |     1704 |       10 | PEK
       28071 |     2639 |       10 | PEK
       29422 |     2975 |       10 | PEK
       30833 |     1301 |       10 | PEK
       42442 |     1227 |       10 | PEK
       50391 |     1433 |       10 | PEK
        6133 |     2489 |       10 | PEK
        6902 |     1567 |       10 | PEK
        8681 |      871 |       10 | PEK
       15300 |     2194 |       10 | PEK
       25475 |     1505 |       10 | PEK
       38617 |     1247 |       10 | PEK
       40649 |     1268 |       10 | PEK
       45702 |     1213 |       10 | PEK
(15 rows)
UPDATE 15


Time: 2.626 ms


airline=# delete from employee
airline-# where
airline-#     (current_date - dob)/365 - (current_date - hire_date)/365 < 3
airline-# returning *;
 emp_id | first_name |  last_name  |   wage   |    dob     |                          address                           | hire_date
--------+------------+-------------+----------+------------+------------------------------------------------------------+------------
    579 | Simone     | Harrell     |     4398 | 1996-05-13 | 7912 Depew Street, Arvada, CO, 80003                       | 1998-04-28
    727 | Jocelynn   | Rowland     |     3955 | 1999-12-20 | 705 Upshur Street Northwest, Washington, DC, 20011         | 2002-03-07
     97 | Anastasia  | Proctor     |     3530 | 1992-05-07 | 3824 Rosewood Court, Midwest City, OK, 73110               | 1994-03-14
    126 | Tyree      | Cain        |     3985 | 1999-02-08 | 91 Hoague Drive, Highgate, VT, 05459                       | 2001-02-02
    156 | Hailie     | Marshall    |     4657 | 2000-03-21 | 324 Tulip Oak Court, Linthicum Heights, MD, 21090          | 2002-01-10
    220 | Zaria      | Blackwell   |     4781 | 1992-06-08 | 21 Carver Lane, Manchester, CT, 06040                      | 1993-09-20
    642 | Roselyn    | Calhoun     |     4369 | 2001-02-23 | 9401 3rd Street Road, Louisville, KY, 40272                | 2002-11-03
    960 | Lauren     | Dougherty   |     4604 | 1990-09-01 | 68 Hampstead Place, Athol, MA, 01331                       | 1992-07-16
    995 | Parker     | Velez       |     4038 | 1999-08-12 | 2552 Massachusetts Avenue Northwest, Washington, DC, 20008 | 2001-12-22
   1067 | Billy      | Gamble      |     3735 | 1994-01-20 | 6740 West Montebello Avenue, Glendale, AZ, 85303           | 1996-01-17
   1189 | Brock      | Dalton      |     4870 | 1993-07-03 | 8415 Running Spring Drive, Louisville, KY, 40241           | 1995-10-28
   1248 | Kristin    | Briggs      |     3979 | 1992-01-16 | 939 West Beach Drive, Panama City, FL, 32401               | 1993-09-13
   1357 | Albert     | Holloway    |     4488 | 1988-02-11 | 12816 West 65th Way, Arvada, CO, 80004                     
DELETE 72


Time: 2.942 ms


airline=# delete from pilot
airline-# where flight_hours > 1500 and
airline-#       (current_date - hire_date)/365 <= 1
airline-# returning *;
 emp_id | first_name | last_name | wage  |    dob     |                          address                          | hire_date  | flight_hours
--------+------------+-----------+-------+------------+-----------------------------------------------------------+------------+--------------
     56 | Cullen     | Stafford  | 82680 | 1980-02-12 | 1753 Carswell Court, Suisun City, CA, 94585               | 2022-08-15 |         1512
     77 | Denise     | Chan      | 83580 | 1998-08-07 | 8421 Thomas Drive, Panama City, FL, 32408                 | 2022-08-24 |         1572
    186 | Carly      | Farmer    | 82770 | 1963-03-14 | 16020 North 69th Avenue, Peoria, AZ, 85382                | 2022-10-22 |         1518
    207 | Amirah     | Williams  | 83970 | 1991-07-26 | 312 North Cove Boulevard, Panama City, FL, 32401          | 2022-11-11 |         1598
    348 | Mariana    | Forbes    | 83880 | 1965-12-08 | 319 Elderwood Court, Annapolis, MD, 21409                 | 2022-11-26 |         1592
    470 | Marley     | Simpson   | 83310 | 1971-10-02 | 6108 Iris Way, Arvada, CO, 80004                          | 2022-12-20 |         1554
    530 | Bridger    | Potts     | 82680 | 1965-09-15 | 3620 Bentfield Drive, Nashville, TN, 37013                | 2022-11-05 |         1512
    542 | Patricia   | Johnson   | 82770 | 1957-01-08 | 7681 Delridge Circle, Anchorage, AK, 99507                | 2022-10-20 |         1518
    661 | Jade       | Joseph    | 83250 | 1992-09-21 | 882 Plantation Way, Montgomery, AL, 36117                 | 2022-10-09 |         1550
    675 | Joel       | Norman    | 83220 | 1950-03-20 | 945 South 5th Street, Louisville, KY, 40203               | 2022-12-27 |         1548
   1111 | Nathaniel  | Solis     | 83100 | 1964-11-15 | 1340 5th Street Northwest, Washington, DC, 20001          | 2022-09-04 |         1540
   1123 | Andrea     | Hernandez | 83490 | 1951-10-18 | 1405 Hickory Avenue, Panama City, FL, 32401               | 2022-12-06 |         1566
   1150 | Braelyn    | Kane      | 83850 | 1957-10-10 | 3728 9th Street Northwest, Washington, DC, 20010          | 2022
DELETE 44


Time: 1.993 ms

